0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.4544948039,0
0,0.4544948039,0
4.58E-13,0.4544948039,2.48E-26
1.64E-13,0.4544948039,3.45E-26
0,0.4544948039,0
0,0,0
11.979448408,74.370697783,3.3255717357
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,-2.82E-13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,-1000
0,0,1000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1000,-888.6920970692,-804.553382949
0,0,0
0,0,0
0,0,0
0,0,0
-618.7705545194,793.2364150727,-1000
1000,1000,592.6543142047
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.066212337
0,0,0
0,0,0
1000,1000,1000
0,0,0
-1000,-1000,-1000
0,0,0
0,0,0
0,0,0
0,0,0
1.385898398,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1000,-1000,-1000
0,0,0
-1000,-1000,1000
0,0,0
0.382373609,0.1450708017,0.0370988948
0,0,0
996.9682899598,1000,1000
-1.14E-13,-260.7269823103,-1000
-3.89E-13,4.57E-13,0
0,0,0
0,0,0
0,0,0
0,0.376793956,0
0,0,0
0,0,0
0,0,0
0,0,1000
1000,1000,1000
0,0,0
0,0,0
0,0,0
0,0,1000
0,0,0
-1000,1000,1000
-1000,-87.0960651933,-1000
-814.86226284,1000,1000
-1000,-1000,-1000
-1000,-1000,-1000
1000,1000,1000
-1000,-1000,-1000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
12.27850834,2.597601,2.132833673
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-2.7E-29,-1.50E-25
521.0592229052,0,-0.055937644
-1000,-1000,-1000
-1000,1000,1000
0,0,0
0,0,0
-1000,1000,642.8304711374
0,0,0
-1000,-1000,-1000
0,0,0
-1000,-1000,-1000
1000,-1000,-1000
0,0.117247395,0
-937.0563752213,0,-621.8927113902
0,0.278563366,1.037069327
0,0,0
